action_id,session_id,sim_time_s,action_type,target_code,classification,expected_step_code,is_correct,is_incorrect,is_dangerous,is_repeated,is_cancelled,is_sequence_violation,is_result_check,is_observation
EAVT-L1-EXPERT-001-A001,EAVT-L1-EXPERT-001,3260,declare_deviation,feed_system,correct,declare_deviation,1,0,0,0,0,0,0,0
EAVT-L1-EXPERT-001-A002,EAVT-L1-EXPERT-001,3265,ack_alarm,primary_flow_alarm,correct,none,1,0,0,0,0,0,0,0
EAVT-L1-EXPERT-001-A003,EAVT-L1-EXPERT-001,3265,compare_flows,FRC-404/405/406,correct,compare_flows,1,0,0,0,0,0,0,1
EAVT-L1-EXPERT-001-A004,EAVT-L1-EXPERT-001,3270,check_pressure,feed_branches,correct,check_pressure,1,0,0,0,0,0,0,1
EAVT-L1-EXPERT-001-A005,EAVT-L1-EXPERT-001,3275,check_pump,N-1_group,correct,check_pump,1,0,0,0,0,0,0,1
EAVT-L1-EXPERT-001-A006,EAVT-L1-EXPERT-001,3280,check_valve,target_branch_FRC,correct,check_valve,1,0,0,0,0,0,0,1
EAVT-L1-EXPERT-001-A007,EAVT-L1-EXPERT-001,3285,submit_diagnosis:valve_stiction,feed_branch,correct,submit_diagnosis,1,0,0,0,0,0,0,0
EAVT-L1-EXPERT-001-A008,EAVT-L1-EXPERT-001,3295,restore_flow_control,feed_branch,correct,corrective_action,1,0,0,0,0,0,0,0
EAVT-L1-EXPERT-001-A009,EAVT-L1-EXPERT-001,3355,verify_flow,feed_branch,correct,verify_flow,1,0,0,0,0,0,1,1
EAVT-L1-EXPERT-001-A010,EAVT-L1-EXPERT-001,3365,verify_t11,T-1...T-11,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-EXPERT-001-A011,EAVT-L1-EXPERT-001,3375,verify_elou,ELOU,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-EXPERT-001-A012,EAVT-L1-EXPERT-001,3385,verify_e15,E-15,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-EXPERT-001-A013,EAVT-L1-EXPERT-001,3395,verify_k1,K-1,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-EXPERT-001-A014,EAVT-L1-EXPERT-001,3405,verify_furnaces,P-1/P-2/P-3,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-EXPERT-001-A015,EAVT-L1-EXPERT-001,3415,verify_k2,K-2,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-EXPERT-001-A016,EAVT-L1-EXPERT-001,3425,verify_products,product_lines,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-EXPERT-002-A001,EAVT-L1-EXPERT-002,3315,declare_deviation,feed_system,correct,declare_deviation,1,0,0,0,0,0,0,0
EAVT-L1-EXPERT-002-A002,EAVT-L1-EXPERT-002,3320,ack_alarm,primary_flow_alarm,correct,none,1,0,0,0,0,0,0,0
EAVT-L1-EXPERT-002-A003,EAVT-L1-EXPERT-002,3320,compare_flows,FRC-404/405/406,correct,compare_flows,1,0,0,0,0,0,0,1
EAVT-L1-EXPERT-002-A004,EAVT-L1-EXPERT-002,3325,check_pressure,feed_branches,correct,check_pressure,1,0,0,0,0,0,0,1
EAVT-L1-EXPERT-002-A005,EAVT-L1-EXPERT-002,3330,check_pump,N-1_group,correct,check_pump,1,0,0,0,0,0,0,1
EAVT-L1-EXPERT-002-A006,EAVT-L1-EXPERT-002,3335,check_valve,target_branch_FRC,correct,check_valve,1,0,0,0,0,0,0,1
EAVT-L1-EXPERT-002-A007,EAVT-L1-EXPERT-002,3340,submit_diagnosis:unknown,feed_branch,incorrect,submit_diagnosis,0,1,0,0,0,0,0,0
EAVT-L1-EXPERT-002-A008,EAVT-L1-EXPERT-002,3375,increase_furnace_heat,furnaces,dangerous,none,0,0,1,0,0,0,0,0
EAVT-L1-SLOW-003-A001,EAVT-L1-SLOW-003,3240,declare_deviation,feed_system,correct,declare_deviation,1,0,0,0,0,0,0,0
EAVT-L1-SLOW-003-A002,EAVT-L1-SLOW-003,3245,ack_alarm,primary_flow_alarm,correct,none,1,0,0,0,0,0,0,0
EAVT-L1-SLOW-003-A003,EAVT-L1-SLOW-003,3250,compare_flows,FRC-404/405/406,correct,compare_flows,1,0,0,0,0,0,0,1
EAVT-L1-SLOW-003-A004,EAVT-L1-SLOW-003,3260,check_pressure,feed_branches,correct,check_pressure,1,0,0,0,0,0,0,1
EAVT-L1-SLOW-003-A005,EAVT-L1-SLOW-003,3270,check_pump,N-1_group,correct,check_pump,1,0,0,0,0,0,0,1
EAVT-L1-SLOW-003-A006,EAVT-L1-SLOW-003,3280,check_valve,target_branch_FRC,correct,check_valve,1,0,0,0,0,0,0,1
EAVT-L1-SLOW-003-A007,EAVT-L1-SLOW-003,3290,submit_diagnosis:valve_stiction,feed_branch,correct,submit_diagnosis,1,0,0,0,0,0,0,0
EAVT-L1-SLOW-003-A008,EAVT-L1-SLOW-003,3305,restore_flow_control,feed_branch,correct,corrective_action,1,0,0,0,0,0,0,0
EAVT-L1-SLOW-003-A009,EAVT-L1-SLOW-003,3325,increase_furnace_heat,furnaces,dangerous,none,0,0,1,0,0,0,0,0
EAVT-L1-SLOW-003-A010,EAVT-L1-SLOW-003,3365,verify_flow,feed_branch,correct,verify_flow,1,0,0,0,0,0,1,1
EAVT-L1-SLOW-003-A011,EAVT-L1-SLOW-003,3375,verify_t11,T-1...T-11,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-SLOW-003-A012,EAVT-L1-SLOW-003,3385,verify_elou,ELOU,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-SLOW-003-A013,EAVT-L1-SLOW-003,3395,verify_e15,E-15,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-SLOW-003-A014,EAVT-L1-SLOW-003,3405,verify_k1,K-1,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-SLOW-003-A015,EAVT-L1-SLOW-003,3415,verify_furnaces,P-1/P-2/P-3,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-SLOW-003-A016,EAVT-L1-SLOW-003,3425,verify_k2,K-2,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-SLOW-003-A017,EAVT-L1-SLOW-003,3435,verify_products,product_lines,correct,verify_downstream,1,0,0,0,0,0,1,1
EAVT-L1-SLOW-004-A001,EAVT-L1-SLOW-004,3375,declare_deviation,feed_system,correct,declare_deviation,1,0,0,0,0,0,0,0
EAVT-L1-SLOW-004-A002,EAVT-L1-SLOW-004,3380,ack_alarm,primary_flow_alarm,correct,none,1,0,0,0,0,0,0,0
EAVT-L1-SLOW-004-A003,EAVT-L1-SLOW-004,3385,compare_flows,FRC-404/405/406,correct,compare_flows,1,0,0,0,0,0,0,1
EAVT-L1-SLOW-004-A004,EAVT-L1-SLOW-004,3395,check_pressure,feed_branches,correct,check_pressure,1,0,0,0,0,0,0,1
EAVT-L1-SLOW-004-A005,EAVT-L1-SLOW-004,3405,check_pump,N-1_group,correct,check_pump,1,0,0,0,0,0,0,1
EAVT-L1-SLOW-004-A006,EAVT-L1-SLOW-004,3415,check_valve,target_branch_FRC,correct,check_valve,1,0,0,0,0,0,0,1
