alarm_id,session_id,alarm_code,alarm_level,equipment_code,started_at_s,acknowledged_at_s,cleared_at_s,is_nuisance
EAVT-L1-EXPERT-001-N001,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,5,15,35,1
EAVT-L1-EXPERT-001-N002,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,340,350,360,1
EAVT-L1-EXPERT-001-N003,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,475,485,505,1
EAVT-L1-EXPERT-001-N004,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,485,495,505,1
EAVT-L1-EXPERT-001-N005,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,555,565,570,1
EAVT-L1-EXPERT-001-N006,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,635,645,665,1
EAVT-L1-EXPERT-001-N007,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,750,760,775,1
EAVT-L1-EXPERT-001-N008,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,755,765,785,1
EAVT-L1-EXPERT-001-N009,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,905,915,925,1
EAVT-L1-EXPERT-001-N010,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,1245,1255,1260,1
EAVT-L1-EXPERT-001-N011,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,1585,1595,1605,1
EAVT-L1-EXPERT-001-N012,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,1595,1605,1610,1
EAVT-L1-EXPERT-001-N013,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,1615,1625,1645,1
EAVT-L1-EXPERT-001-N014,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,1930,1940,1950,1
EAVT-L1-EXPERT-001-N015,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,2020,2030,2035,1
EAVT-L1-EXPERT-001-N016,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,2100,2110,2125,1
EAVT-L1-EXPERT-001-N017,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,2280,2290,2295,1
EAVT-L1-EXPERT-001-N018,EAVT-L1-EXPERT-001,nuisance_misc,L0,auxiliary_system,2480,2490,2500,1
