event_id,session_id,sim_time_s,event_type,source,severity
EAVT-L1-EXPERT-002-C02,EAVT-L1-EXPERT-002,3375,dangerous_heat_compensation,operator_action,critical
EAVT-L1-EXPERT-002-C01,EAVT-L1-EXPERT-002,3375,t11_branch_overtemperature,process_or_rule,critical
EAVT-L1-EXPERT-002-C03,EAVT-L1-EXPERT-002,3390,severe_flow_imbalance,process_or_rule,critical
EAVT-L1-EXPERT-002-C04,EAVT-L1-EXPERT-002,3395,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L1-EXPERT-002-C05,EAVT-L1-EXPERT-002,3415,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L1-EXPERT-002-C06,EAVT-L1-EXPERT-002,3475,elou_critical_load_imbalance,process_or_rule,critical
EAVT-L1-EXPERT-002-C07,EAVT-L1-EXPERT-002,3485,elou_low_level_interlock,process_or_rule,critical
EAVT-L1-EXPERT-002-C08,EAVT-L1-EXPERT-002,3555,k1_critical_feed_deviation,process_or_rule,critical
EAVT-L1-EXPERT-002-C09,EAVT-L1-EXPERT-002,3695,k2_critical_instability,process_or_rule,critical
EAVT-L1-SLOW-003-C01,EAVT-L1-SLOW-003,3225,severe_flow_imbalance,process_or_rule,critical
EAVT-L1-SLOW-003-C02,EAVT-L1-SLOW-003,3225,t11_branch_overtemperature,process_or_rule,critical
EAVT-L1-SLOW-003-C03,EAVT-L1-SLOW-003,3260,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L1-SLOW-003-C05,EAVT-L1-SLOW-003,3325,dangerous_heat_compensation,operator_action,critical
EAVT-L1-SLOW-003-C04,EAVT-L1-SLOW-003,3325,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L1-SLOW-003-C06,EAVT-L1-SLOW-003,3330,elou_low_level_interlock,process_or_rule,critical
EAVT-L1-SLOW-004-C01,EAVT-L1-SLOW-004,3380,t11_branch_overtemperature,process_or_rule,critical
EAVT-L1-SLOW-004-C02,EAVT-L1-SLOW-004,3390,severe_flow_imbalance,process_or_rule,critical
EAVT-L1-SLOW-004-C03,EAVT-L1-SLOW-004,3415,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L1-SLOW-004-C04,EAVT-L1-SLOW-004,3490,elou_low_level_interlock,process_or_rule,critical
EAVT-L1-ALARM-OVERLOAD-005-C01,EAVT-L1-ALARM-OVERLOAD-005,3380,severe_flow_imbalance,process_or_rule,critical
EAVT-L1-ALARM-OVERLOAD-005-C02,EAVT-L1-ALARM-OVERLOAD-005,3380,t11_branch_overtemperature,process_or_rule,critical
EAVT-L1-ALARM-OVERLOAD-005-C03,EAVT-L1-ALARM-OVERLOAD-005,3415,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L1-ALARM-OVERLOAD-005-C04,EAVT-L1-ALARM-OVERLOAD-005,3485,elou_low_level_interlock,process_or_rule,critical
EAVT-L1-ALARM-OVERLOAD-006-C01,EAVT-L1-ALARM-OVERLOAD-006,3315,t11_branch_overtemperature,process_or_rule,critical
EAVT-L1-ALARM-OVERLOAD-006-C02,EAVT-L1-ALARM-OVERLOAD-006,3320,severe_flow_imbalance,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-007-C01,EAVT-L1-WRONG-DIAGNOSIS-007,3280,t11_branch_overtemperature,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-007-C02,EAVT-L1-WRONG-DIAGNOSIS-007,3285,severe_flow_imbalance,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-007-C05,EAVT-L1-WRONG-DIAGNOSIS-007,3315,dangerous_heat_compensation,operator_action,critical
EAVT-L1-WRONG-DIAGNOSIS-007-C04,EAVT-L1-WRONG-DIAGNOSIS-007,3315,missed_critical_reaction_deadline,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-007-C03,EAVT-L1-WRONG-DIAGNOSIS-007,3315,unsafe_furnace_heat_to_feed,process_or_rule,critical
EAVT-L1-WRONG-DIAGNOSIS-007-C06,EAVT-L1-WRONG-DIAGNOSIS-007,3375,elou_critical_load_imbalance,process_or_rule,critical
