dataset_version,session_id,split,random_seed,difficulty_level,operator_profile,disturbance_cause,disturbance_target_branch,disturbance_onset_s,primary_alarm_at_s,detection_at_s,diagnosis_at_s,diagnosis_correct,correct_action_at_s,verification_end_s,session_outcome,critical_event_count,snapshot_count,valid_snapshot_count,positive_snapshot_count,baseline_resultiveness_0_100
1.0.0-synthetic-elou-avt,EAVT-L1-EXPERT-001,train,20268830,1,expert,flow_control_valve_stiction,3,3160,3240,3260,3285,1,3295,3425,stabilized_verified,0,781,775,0,98
1.0.0-synthetic-elou-avt,EAVT-L1-EXPERT-002,test,20276750,1,expert,feed_pump_capacity_loss,1,3215,3295,3315,3340,0,,,not_stabilized,9,781,775,34,49.23
1.0.0-synthetic-elou-avt,EAVT-L1-SLOW-003,train,20284668,1,slow,flow_control_valve_stiction,2,3060,3140,3240,3290,1,3305,3435,stabilized_verified,6,781,775,19,83.74
1.0.0-synthetic-elou-avt,EAVT-L1-SLOW-004,validation,20292588,1,slow,feed_pump_capacity_loss,3,3215,3295,3375,3425,1,3440,,stabilized_unverified,4,781,775,19,82.43
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-005,train,20300506,1,alarm_overload,flow_control_valve_stiction,1,3215,3295,3375,3425,1,3440,3570,stabilized_verified,4,781,775,18,80.74
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-006,validation,20308426,1,alarm_overload,feed_pump_capacity_loss,2,3150,3230,3275,3325,1,3340,3470,stabilized_verified,2,781,775,7,51.35
1.0.0-synthetic-elou-avt,EAVT-L1-WRONG-DIAGNOSIS-007,train,20316344,1,wrong_diagnosis,flow_control_valve_stiction,3,3115,3195,3240,3280,0,,,not_stabilized,9,781,775,31,80.32
1.0.0-synthetic-elou-avt,EAVT-L1-WRONG-DIAGNOSIS-008,train,20324264,1,wrong_diagnosis,feed_pump_capacity_loss,1,3070,3150,3220,3260,0,,,not_stabilized,9,781,775,37,96.86
1.0.0-synthetic-elou-avt,EAVT-L1-NO-VERIFICATION-009,train,20332182,1,no_verification,flow_control_valve_stiction,2,3115,3195,3235,3265,1,3276,,stabilized_unverified,0,781,775,0,65.83
1.0.0-synthetic-elou-avt,EAVT-L1-NO-VERIFICATION-010,test,20340102,1,no_verification,feed_pump_capacity_loss,3,3065,3145,3195,3225,1,3236,,stabilized_unverified,1,781,775,6,46.76
1.0.0-synthetic-elou-avt,EAVT-L1-CHAOTIC-011,validation,20348020,1,chaotic,flow_control_valve_stiction,1,3090,3170,3245,3280,1,3292,,stabilized_unverified,5,781,775,19,51.52
1.0.0-synthetic-elou-avt,EAVT-L1-CHAOTIC-012,train,20355940,1,chaotic,feed_pump_capacity_loss,2,3220,3300,3385,3420,1,3432,3562,stabilized_verified,6,781,775,24,98
1.0.0-synthetic-elou-avt,EAVT-L2-EXPERT-013,test,20363959,2,expert,feed_pump_capacity_loss,1,3205,3275,3300,3325,1,3335,3465,stabilized_verified,2,781,775,11,70.69
1.0.0-synthetic-elou-avt,EAVT-L2-EXPERT-014,train,20371879,2,expert,flow_control_valve_stiction,2,3145,3215,3245,3270,0,,,not_stabilized,9,781,775,32,64.31
1.0.0-synthetic-elou-avt,EAVT-L2-SLOW-015,validation,20379797,2,slow,feed_pump_capacity_loss,3,3175,3245,3315,3365,0,,,not_stabilized,9,781,775,33,62.81
1.0.0-synthetic-elou-avt,EAVT-L2-SLOW-016,train,20387717,2,slow,flow_control_valve_stiction,1,3140,3210,3305,3355,1,3370,3500,stabilized_verified,5,781,775,21,83.16
1.0.0-synthetic-elou-avt,EAVT-L2-ALARM-OVERLOAD-017,validation,20395635,2,alarm_overload,feed_pump_capacity_loss,2,3215,3285,3330,3380,0,,,not_stabilized,9,781,775,35,73.5
1.0.0-synthetic-elou-avt,EAVT-L2-ALARM-OVERLOAD-018,validation,20403555,2,alarm_overload,flow_control_valve_stiction,3,3200,3270,3370,3420,1,3435,,stabilized_unverified,6,781,775,27,52.6
1.0.0-synthetic-elou-avt,EAVT-L2-WRONG-DIAGNOSIS-019,train,20411473,2,wrong_diagnosis,feed_pump_capacity_loss,1,3185,3255,3305,3345,0,,,not_stabilized,9,781,775,36,90.44
1.0.0-synthetic-elou-avt,EAVT-L2-WRONG-DIAGNOSIS-020,test,20419393,2,wrong_diagnosis,flow_control_valve_stiction,2,3215,3285,3330,3370,0,,,not_stabilized,9,781,775,35,61.27
1.0.0-synthetic-elou-avt,EAVT-L2-NO-VERIFICATION-021,train,20427311,2,no_verification,feed_pump_capacity_loss,3,3075,3145,3195,3225,1,3236,,stabilized_unverified,5,781,775,16,69.1
1.0.0-synthetic-elou-avt,EAVT-L2-NO-VERIFICATION-022,train,20435231,2,no_verification,flow_control_valve_stiction,1,3220,3290,3335,3365,1,3376,,stabilized_unverified,2,781,775,7,46.89
