dataset_version,snapshot_id,session_id,split,is_synthetic,random_seed,sim_time_s,snapshot_interval_s,scenario_id,scenario_version,stage_code,scenario_progress_ratio,difficulty_level,operator_profile,disturbance_cause,disturbance_target_branch,disturbance_onset_s,disturbance_active_true,disturbance_severity_true,sensor_delay_s,nuisance_alarm_rate_min,reaction_deadline_s,hints_enabled,branch_1_flow_tph,branch_1_flow_ratio,branch_1_pressure_bar,branch_1_valve_command_pct,branch_1_valve_actual_pct,branch_1_t11_outlet_temp_c,branch_2_flow_tph,branch_2_flow_ratio,branch_2_pressure_bar,branch_2_valve_command_pct,branch_2_valve_actual_pct,branch_2_t11_outlet_temp_c,branch_3_flow_tph,branch_3_flow_ratio,branch_3_pressure_bar,branch_3_valve_command_pct,branch_3_valve_actual_pct,branch_3_t11_outlet_temp_c,total_feed_flow_tph,min_branch_flow_ratio,flow_imbalance_ratio,lowest_flow_branch_code,feed_pump_discharge_pressure_bar,t11_combined_outlet_temp_c,t11_temperature_margin_norm,min_branch_flow_change_30s_pct,t11_max_temp_change_30s_c,elou_wash_water_ratio,elou_stage1_min_level_mm,elou_stage2_min_level_mm,elou_temperature_c,elou_load_imbalance_ratio,elou_hv_trip_count,e15_level_pct,n20_state,k1_feed_flow_ratio,k1_pressure_bar,k1_top_temp_c,k1_bottom_temp_c,k1_level_pct,furnace_feed_flow_ratio,furnace_outlet_temp_c,furnace_heat_load_pct,furnace_heat_to_feed_ratio,k2_pressure_bar,k2_top_temp_c,k2_bottom_temp_c,k2_stability_index,side_draw_stability_index,product_flow_stability_index,deviating_parameters_count,critical_parameters_count,active_alarms_count,critical_alarms_count,nuisance_alarms_count,unack_alarms_count,alarm_level_max,alarm_rate_30s,time_since_primary_alarm_s,max_alarm_age_s,alarms_ack_30s,operator_actions_30s,correct_actions_30s,incorrect_actions_30s,dangerous_actions_30s,repeated_actions_30s,cancelled_actions_30s,sequence_violations_30s,result_checks_30s,observation_checks_30s,time_since_last_action_s,deviation_declared,diagnosis_code,correct_response_started,reaction_elapsed_s,reaction_overdue_s,sequence_progress_ratio,expected_step_code,verification_required,verification_completed,verification_missing,time_since_unverified_action_s,downstream_checks_completed_count,label_valid,risk_next_30s,time_to_critical_event_s,target_event_type
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-005-T0000,EAVT-L1-ALARM-OVERLOAD-005,train,1,20300506,0,5,elou_avt_throughput_branch_degradation,1.0.0,precheck,0.0,1,alarm_overload,flow_control_valve_stiction,1,3215,0,0.0,0.0,0.4,120.0,1,0.0047,0.0,5.0162,100.0,100,25.1824,0.0218,0.0002,5.0119,100.0,100,24.8912,0.0295,0.0003,4.9748,100.0,100,25.0018,0.056,0.0,0.0,branch_1,6.0,25.0251,7.6545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,L0,0.0,,,0,0,0,0,0,0,0,0,0,0,,0,none,0,,0.0,0.0,declare_deviation,0,0,0,,0,1,0,,
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-005-T0020,EAVT-L1-ALARM-OVERLOAD-005,train,1,20300506,20,5,elou_avt_throughput_branch_degradation,1.0.0,precheck,0.0051,1,alarm_overload,flow_control_valve_stiction,1,3215,0,0.0,0.0,0.4,120.0,1,0.0,0.0,5.0179,100.0,100,24.8965,0.0,0.0,5.0221,100.0,100,25.068,0.0356,0.0004,5.0075,100.0,100,24.9107,0.0356,0.0,0.0,branch_1,6.0,24.9584,7.6621,-0.0047,-0.1144,0.0,0.0,0.0,0.0,0.0,0,0.0,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,L0,0.0,,,0,0,0,0,0,0,0,0,0,0,,0,none,0,,0.0,0.0,declare_deviation,0,0,0,,0,1,0,,
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-005-T0070,EAVT-L1-ALARM-OVERLOAD-005,train,1,20300506,70,5,elou_avt_throughput_branch_degradation,1.0.0,precheck,0.0179,1,alarm_overload,flow_control_valve_stiction,1,3215,0,0.0,0.0,0.4,120.0,1,0.0,0.0,4.9979,100.0,100,25.0851,0.0,0.0,5.0033,100.0,100,25.1106,0.0,0.0,5.0035,100.0,100,25.036,0.0,0.0,0.0,branch_1,6.0,25.0772,7.6593,0.0,-0.1746,0.0,0.0,0.0,0.0,0.0,0,0.0,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,L0,0.0,,,0,0,0,0,0,0,0,0,0,0,,0,none,0,,0.0,0.0,declare_deviation,0,0,0,,0,1,0,,
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-005-T0080,EAVT-L1-ALARM-OVERLOAD-005,train,1,20300506,80,5,elou_avt_throughput_branch_degradation,1.0.0,precheck,0.0205,1,alarm_overload,flow_control_valve_stiction,1,3215,0,0.0,0.0,0.4,120.0,1,0.0351,0.0004,5.0185,100.0,100,24.9792,0.0,0.0,5.0129,100.0,100,24.9121,0.0,0.0,5.0143,100.0,100,24.8326,0.0351,0.0,0.0,branch_2,6.0,24.908,7.6681,0.0,-0.2083,0.0,0.0,0.0,0.0,0.0,0,0.0,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,L0,0.0,,,0,0,0,0,0,0,0,0,0,0,,0,none,0,,0.0,0.0,declare_deviation,0,0,0,,0,1,0,,
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-005-T0090,EAVT-L1-ALARM-OVERLOAD-005,train,1,20300506,90,5,elou_avt_throughput_branch_degradation,1.0.0,precheck,0.0231,1,alarm_overload,flow_control_valve_stiction,1,3215,0,0.0,0.0,0.4,120.0,1,0.0155,0.0002,4.9986,100.0,100,25.0046,0.0,0.0,4.9772,100.0,100,24.8152,0.039,0.0004,4.9862,100.0,100,24.9839,0.0544,0.0,0.0,branch_2,6.0,24.9346,7.6664,0.0,-0.2621,0.0,0.0,0.0,0.0,0.0,0,0.0,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,L0,0.0,,,0,0,0,0,0,0,0,0,0,0,,0,none,0,,0.0,0.0,declare_deviation,0,0,0,,0,1,0,,
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-005-T0155,EAVT-L1-ALARM-OVERLOAD-005,train,1,20300506,155,5,elou_avt_throughput_branch_degradation,1.0.0,feed_preparation,0.0397,1,alarm_overload,flow_control_valve_stiction,1,3215,0,0.0,0.0,0.4,120.0,1,0.0025,0.0,4.986,100.0,100,24.9924,0.0,0.0,4.9791,100.0,100,24.918,0.022,0.0002,4.9818,100.0,100,24.948,0.0245,0.0,0.0,branch_2,6.0,24.9528,7.6672,0.0,-0.204,0.0,0.0,0.0,0.0,0.0,0,0.0,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,L0,0.0,,,0,0,0,0,0,0,0,0,0,0,,0,none,0,,0.0,0.0,declare_deviation,0,0,0,,0,1,0,,
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-005-T0370,EAVT-L1-ALARM-OVERLOAD-005,train,1,20300506,370,5,elou_avt_throughput_branch_degradation,1.0.0,feed_startup,0.0949,1,alarm_overload,flow_control_valve_stiction,1,3215,0,0.0,0.0,0.4,120.0,1,72.2481,0.7225,5.0291,100.0,100,25.0462,72.6024,0.726,5.005,100.0,100,24.9093,71.9984,0.72,4.9931,100.0,100,25.1376,216.8489,0.72,0.0084,branch_3,6.0,25.031,7.6575,16.5309,0.028,0.0,0.0,0.0,0.0,0.0,0,0.0,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,L0,0.0,,,0,0,0,0,0,0,0,0,0,0,,0,none,0,,0.0,0.0,declare_deviation,0,0,0,,0,1,0,,
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-005-T0510,EAVT-L1-ALARM-OVERLOAD-005,train,1,20300506,510,5,elou_avt_throughput_branch_degradation,1.0.0,t1_t3,0.1308,1,alarm_overload,flow_control_valve_stiction,1,3215,0,0.0,0.0,0.4,120.0,1,100.179,1.0018,5.0282,100.0,100,52.495,99.532,0.9953,4.9991,100.0,100,52.6471,99.7239,0.9972,4.9872,100.0,100,52.4845,299.4349,0.9953,0.0065,branch_2,6.0,52.5422,5.8235,0.1631,9.2332,0.0,0.0,0.0,0.0,0.0,0,0.0,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,L0,0.0,,,0,0,0,0,0,0,0,0,0,0,,0,none,0,,0.0,0.0,declare_deviation,0,0,0,,0,1,0,,
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-005-T0535,EAVT-L1-ALARM-OVERLOAD-005,train,1,20300506,535,5,elou_avt_throughput_branch_degradation,1.0.0,t1_t3,0.1372,1,alarm_overload,flow_control_valve_stiction,1,3215,0,0.0,0.0,0.4,120.0,1,100.4318,1.0043,4.9999,100.0,100,60.2349,99.8029,0.998,5.0009,100.0,100,60.0444,100.1196,1.0012,4.9985,100.0,100,60.0732,300.3544,0.998,0.0063,branch_2,6.0,60.1175,5.3177,0.2585,9.2399,0.0,0.0,0.0,0.0,0.0,0,0.0,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,L0,0.0,,,0,0,0,0,0,0,0,0,0,0,,0,none,0,,0.0,0.0,declare_deviation,0,0,0,,0,1,0,,
1.0.0-synthetic-elou-avt,EAVT-L1-ALARM-OVERLOAD-005-T0590,EAVT-L1-ALARM-OVERLOAD-005,train,1,20300506,590,5,elou_avt_throughput_branch_degradation,1.0.0,t1_t3,0.1513,1,alarm_overload,flow_control_valve_stiction,1,3215,0,0.0,0.0,0.4,120.0,1,100.2478,1.0025,4.9747,100.0,100,76.8069,100.5402,1.0054,5.0006,100.0,100,76.762,99.2158,0.9922,5.0119,100.0,100,76.8829,300.0038,0.9922,0.0132,branch_3,6.0,76.8173,4.2078,-0.4905,9.0716,0.0,0.0,0.0,0.0,0.0,0,0.0,OFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,L0,2.0,,5.0,0,0,0,0,0,0,0,0,0,0,,0,none,0,,0.0,0.0,declare_deviation,0,0,0,,0,1,0,,
